TEMP_C,PRESSURE_PA,PING_TIME_US
21.90,99280,10238
21.90,99276,10238
21.90,99277,10266
21.90,99271,10291
21.90,99279,10284
21.90,99279,10289
21.90,99276,10289
21.90,99278,10262
21.90,99276,10263
21.90,99272,10262
21.90,99275,10339
21.90,99278,10229
21.90,99281,10235
21.90,99281,10263
21.90,99278,10291
21.90,99278,10237
21.90,99275,10238
21.90,99275,10263
21.90,99280,10262
21.90,99282,10289
21.90,99273,10392
21.90,99278,10266
21.90,99277,10238
21.90,99281,10266
21.90,99276,10238
21.90,99272,10241
21.90,99278,10369
21.90,99276,10214
21.90,99268,10259
21.90,99279,10318
21.90,99276,10343
21.90,99277,10293
21.90,99278,10289
21.90,99278,10343
21.90,99275,10318
21.90,99286,10266
21.90,99278,10293
21.90,99282,10241
21.90,99276,10293
21.90,99280,10264
21.90,99278,10266
21.90,99268,10266
21.90,99278,10317
21.90,99278,10414
21.90,99275,10419
21.90,99277,10266
21.90,99278,10419
21.90,99278,10291
21.90,99277,10266
21.90,99279,10393
21.90,99274,10342
21.90,99278,10266
21.80,99281,10361
21.90,99284,10264
21.90,99279,10368
21.90,99281,10393
21.80,99278,10335
21.80,99281,10318
21.90,99285,10238
21.90,99279,10266
21.90,99280,10241
21.90,99280,10241
21.90,99277,10213
21.90,99276,10239
21.90,99281,10238
21.90,99281,10293
21.90,99281,10338
21.90,99281,10241
21.90,99280,10241
21.90,99279,10293
21.90,99278,10344
21.90,99284,10293
21.90,99265,10292
21.90,99280,10235
21.90,99279,10317
21.90,99290,10241
21.90,99283,10292
21.90,99279,10266
21.90,99279,10293
21.90,99281,10292
21.90,99277,10413
21.90,99276,10264
21.90,99284,10266
21.90,99279,10264
21.90,99276,10264
21.90,99287,10343
21.90,99277,10266
21.90,99289,10315
21.90,99281,10368
21.90,99283,10289
21.90,99284,10291
21.90,99280,10238
21.90,99284,10291
21.90,99281,10266
21.90,99281,10214
21.90,99281,10266
21.90,99284,10238
21.90,99278,10393
21.90,99285,10289
21.90,99282,10368
21.90,99284,10266
21.90,99281,10264
21.90,99284,10259
21.90,99280,10213
21.90,99279,10239
21.90,99282,10231
21.90,99283,10237
21.90,99286,10289
21.90,99283,10368
21.90,99283,10317
21.90,99284,10238
21.80,99282,10317
21.80,99281,10214
21.80,99285,10264
21.90,99279,10266
21.90,99276,10238
21.90,99283,10266
21.90,99282,10292
21.90,99284,10241
21.90,99275,10241
21.90,99281,10293
21.90,99284,10241
21.90,99277,10288
21.90,99281,10371
21.90,99285,10241
21.80,99281,10239
21.80,99279,10293
21.80,99279,10242
21.90,99281,10293
21.90,99287,10260
21.90,99282,10266
21.80,99282,10344
21.90,99283,10242
21.90,99281,10292
21.90,99283,10419
21.80,99278,10266
21.80,99275,10317
21.80,99280,10369
21.80,99282,10238
21.80,99282,10393
21.90,99284,10213
21.90,99284,10266
21.90,99277,10241
21.90,99283,10292
21.90,99281,10264
21.90,99278,10292
21.90,99278,10293
21.90,99277,10338
21.90,99278,10292
